"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude","n"
"Athens",2004,"Athletics","Athletics","4x100m relay","GARDENER, Jason","Men","GBR","United Kingdom","M","Gold",55.378051,-3.435973,134
"Athens",2004,"Athletics","Athletics","4x400m relay","WILLIAMSON, Darold","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","triple jump","MBANGO ETONE, Francoise","Women","CMR","Cameroon","W","Gold",7.369722,12.354722,2
"Athens",2004,"Athletics","Athletics","400m hurdles","CHALKIA, Fani","Women","GRE","Greece","W","Gold",39.074208,21.824312,38
"Athens",2004,"Athletics","Athletics","4x100m relay","SIMPSON, Sherone","Women","JAM","Jamaica","W","Gold",18.109581,-77.297508,30
"Athens",2004,"Athletics","Athletics","4x100m relay","DEVONISH, Marlon","Men","GBR","United Kingdom","M","Gold",55.378051,-3.435973,134
"Athens",2004,"Athletics","Athletics","4x400m relay","HENNAGAN, Monique","Women","USA","United States","W","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","4x100m relay","CAMPBELL-BROWN, Veronica","Women","JAM","Jamaica","W","Gold",18.109581,-77.297508,30
"Athens",2004,"Athletics","Athletics","1500m","HOLMES, Kelly","Women","GBR","United Kingdom","W","Gold",55.378051,-3.435973,134
"Athens",2004,"Athletics","Athletics","800m","BORZAKOVSKIY, Yuriy","Men","RUS","Russia","M","Gold",61.52401,105.318756,335
"Athens",2004,"Athletics","Athletics","400m hurdles","SANCHEZ, Felix","Men","DOM","Dominican Republic","M","Gold",18.735693,-70.162651,3
"Athens",2004,"Athletics","Athletics","400m","WILLIAMS-DARLING, Tonique","Women","BAH","Bahamas","W","Gold",25.03428,-77.39628,7
"Athens",2004,"Athletics","Athletics","10000m","BEKELE, Kenenisa","Men","ETH","Ethiopia","M","Gold",9.145,40.489673,14
"Athens",2004,"Athletics","Athletics","200m","CRAWFORD, Shawn","Men","USA","United States","M","Gold",37.09024,-95.712891,579
"Athens",2004,"Athletics","Athletics","discus throw","SADOVA, Natalya","Women","RUS","Russia","W","Gold",61.52401,105.318756,335
"Athens",2004,"Athletics","Athletics","1500m","EL GUERROUJ, Hicham","Men","MAR","Morocco","M","Gold",31.791702,-7.09262,5
"Athens",2004,"Athletics","Athletics","shot put","CUMBA, Yumileidi","Women","CUB","Cuba","W","Gold",21.521757,-77.781167,108
"Athens",2004,"Athletics","Athletics","20km walk","BRUGNETTI, Ivano","Men","ITA","Italy","M","Gold",41.87194,12.56738,144
"Athens",2004,"Athletics","Athletics","5000m","EL GUERROUJ, Hicham","Men","MAR","Morocco","M","Gold",31.791702,-7.09262,5
