"City","Year","Sport","Discipline","Event","Athlete","Gender","Country_Code","Country","Event_gender","Medal","latitude","longitude"
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","KOMISARZ, Rachel","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","BEARD, Amanda","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m individual medley","KLOCHKOVA, Yana","Women","UKR","Ukraine","W","Gold",48.379433,31.16558
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","PIPER, Carly","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","NEETHLING, Ryk","Men","RSA","South Africa","M","Gold",-30.559482,22.937506
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","TOWNSEND, Darian","Men","RSA","South Africa","M","Gold",-30.559482,22.937506
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","CROCKER, Ian","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","200m individual medley","LOCHTE, Ryan","Men","USA","United States","M","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","LOCHTE, Ryan","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","50m freestyle","SCHOEMAN, Roland","Men","RSA","South Africa","M","Bronze",-30.559482,22.937506
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","SCHIPPER, Jess","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","200m backstroke","KOMAROVA, Stanislava","Women","RUS","Russia","W","Silver",61.52401,105.318756
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","ZHU, Yingwen","Women","CHN","China","W","Silver",35.86166,104.195397
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","VAN ALMSICK, Franziska","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","MILLS, Alice","Women","AUS","Australia","W","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","VEENS, Mark Hermanus","Men","NED","Netherlands","M","Silver",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","VELDHUIS, Marleen","Women","NED","Netherlands","W","Bronze",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","100m backstroke","COUGHLIN, Natalie","Women","USA","United States","W","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","MAGNINI, Filippo","Men","ITA","Italy","M","Bronze",41.87194,12.56738
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","COPE, Haley","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m backstroke","MANAUDOU, Laure","Women","FRA","France","W","Bronze",46.227638,2.213749
"Athens",2004,"Aquatics","Swimming","400m freestyle","THORPE, Ian","Men","AUS","Australia","M","Gold",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","ZWERING, Klaas-Erik","Men","NED","Netherlands","M","Silver",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","200m backstroke","COVENTRY, Kirsty","Women","ZIM","Zimbabwe","W","Gold",-19.015438,29.154857
"Athens",2004,"Aquatics","Swimming","4x100m freestyle relay","DEKKER, Inge","Women","NED","Netherlands","W","Bronze",52.132633,5.291266
"Athens",2004,"Aquatics","Swimming","200m butterfly","PHELPS, Michael","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","400m individual medley","VENDT, Erik","Men","USA","United States","M","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","VAN ALMSICK, Franziska","Women","GER","Germany","W","Bronze",51.165691,10.451526
"Athens",2004,"Aquatics","Swimming","4x100m medley relay","THOMPSON, Jenny","Women","USA","United States","W","Silver",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","4x200m freestyle relay","GOLDBLATT, Scott","Men","USA","United States","M","Gold",37.09024,-95.712891
"Athens",2004,"Aquatics","Swimming","100m backstroke","MORITA, Tomomi","Men","JPN","Japan","M","Bronze",36.204824,138.252924
"Athens",2004,"Aquatics","Swimming","200m breaststroke","JONES, Leisel","Women","AUS","Australia","W","Silver",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","100m breaststroke","JONES, Leisel","Women","AUS","Australia","W","Bronze",-25.274398,133.775136
"Athens",2004,"Aquatics","Swimming","200m backstroke","FLOREA, Razvan Ionut","Men","ROU","Romania","M","Bronze",45.943161,24.96676
"Athens",2004,"Aquatics","Swimming","200m freestyle","PELLEGRINI, Federica","Women","ITA","Italy","W","Silver",41.87194,12.56738
"Athens",2004,"Aquatics","Swimming","100m butterfly","SERDINOV, Andriy","Men","UKR","Ukraine","M","Bronze",48.379433,31.16558
"Athens",2004,"Aquatics","Swimming","400m freestyle","JEDRZEJCZAK, Otylia","Women","POL","Poland","W","Silver",51.919438,19.145136
"Athens",2004,"Aquatics","Swimming","200m breaststroke","GYURTA, Daniel","Men","HUN","Hungary","M","Silver",47.162494,19.503304
